weight;zone1;zone2;zone3;zone4;zone5
"0.5";"65";"70";"85";"103";"111"
"1";"72";"75";"95";"119";"130"
"1.5";"77";"82";"102";"130";"144"
"2";"82";"88";"108";"142";"157"
"2.5";"88";"96";"117";"152";"177"
"3";"94";"105";"126";"174";"196"
"3.5";"102";"116";"135";"193";"216"
"4";"109";"127";"144";"212";"236"
"4.5";"116";"134";"154";"232";"260"
"5";"123";"142";"164";"251";"284"
"6";"129";"150";"173";"268";"303"
"7";"134";"158";"182";"285";"322"
"8";"140";"166";"192";"303";"341"
"9";"146";"174";"201";"320";"360"
"10";"152";"182";"211";"337";"378"
"11";"160";"193";"225";"360";"407"
"12";"168";"203";"240";"384";"436"
"13";"177";"214";"254";"407";"465"
"14";"185";"225";"269";"430";"494"
"15";"193";"236";"284";"453";"523"
"16";"202";"247";"298";"479";"549"
"17";"210";"259";"313";"504";"575"
"18";"219";"270";"327";"530";"600"
"19";"228";"281";"342";"555";"626"
"20";"236";"293";"357";"580";"652"
"21";"245";"305";"371";"603";"679"
"22";"253";"317";"386";"625";"705"
"23";"262";"329";"400";"647";"732"
"24";"271";"341";"415";"669";"759"
"25";"279";"353";"429";"691";"785"
"26";"288";"364";"441";"721";"814"
"27";"297";"376";"453";"751";"842"
"28";"306";"387";"465";"781";"871"
"29";"315";"399";"477";"811";"899"
"30";"324";"411";"489";"841";"928"
